n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,distance,model_id,features_n,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
2060,0.8383495145631068,0.8361848705582098,0.8370351893095769,0.8380724405907409,0.8384985634650826,0.8361848705582098,0.9163722762372214,athlete_group_holdout,advancement_label,1500m,1500m_advancement,92,,,,,
4086,0.8340675477239354,0.8349723971934067,0.8333398305525235,0.8343424630998021,0.8327584307643792,0.8349723971934067,0.9182178523516199,time_external_season_ge_2023,advancement_label,1500m,1500m_advancement,92,,,,,
1950,0.8425641025641025,0.8413876598393418,0.8419352104665743,0.8422828906505736,0.84383751421443,0.8413876598393418,0.9231886454428739,random_stratified_holdout,advancement_label,1500m,1500m_advancement,92,,,,,
2368,0.714527027027027,0.7074524705343199,0.7074687642234951,0.7147663366129027,0.7091901982665926,0.7074524705343199,,athlete_group_holdout,grade_label,1500m,1500m_grade,61,,,,,
4561,0.5974566980925236,0.6031289464825825,0.595456807449062,0.5917185516304432,0.5939777419858572,0.6031289464825825,,time_external_season_ge_2023,grade_label,1500m,1500m_grade,61,,,,,
2254,0.6881100266193434,0.6881322197447817,0.6867666661785798,0.6867330561705534,0.6885394180909719,0.6881322197447817,,random_stratified_holdout,grade_label,1500m,1500m_grade,61,,,,,
2368,0.504222972972973,0.26958990718364345,0.2766478633792665,0.47890769570521086,0.4695228671542983,0.26958990718364345,,athlete_group_holdout,max_round_score,1500m,1500m_max_round,92,,,,,
4561,0.45889059416794564,0.37822744493806404,0.23390796872136263,0.44767180164386317,0.27712539992147467,0.2521516299587094,,time_external_season_ge_2023,max_round_score,1500m,1500m_max_round,92,,,,,
2254,0.5381543921916593,0.27877135641362966,0.28390399306939046,0.5121349201869364,0.41381021246553734,0.27877135641362966,,random_stratified_holdout,max_round_score,1500m,1500m_max_round,92,,,,,
2368,0.7098817567567568,0.6967914829930066,0.6910247836786416,0.7131374051001578,0.6881355654615675,0.6967914829930066,0.7820709589653382,athlete_group_holdout,final_entry_label,1500m,1500m_final_entry,92,,,,,
4561,0.6882262661696996,0.6996620930067152,0.675033069180726,0.6970695842820039,0.6778321495451287,0.6996620930067152,0.7712352524837238,time_external_season_ge_2023,final_entry_label,1500m,1500m_final_entry,92,,,,,
2254,0.7271517302573203,0.709387910633348,0.7098106204527399,0.7268684816398225,0.7102592116160638,0.709387910633348,0.7970456794085007,random_stratified_holdout,final_entry_label,1500m,1500m_final_entry,92,,,,,
2368,0.995777027027027,0.9932755155065683,0.9910551574959247,0.9957759845000146,0.9890477849472236,0.9932755155065683,,athlete_group_holdout,tactical_style_label,1500m,1500m_tactical_style,61,,,,,
4561,0.9914492435869326,0.9813587227221376,0.9777094674852442,0.9914765137714331,0.9743778300911824,0.9813587227221376,,time_external_season_ge_2023,tactical_style_label,1500m,1500m_tactical_style,61,,,,,
2254,0.9968944099378882,0.995346277148137,0.9945444339455232,0.9968901122532429,0.9937958840699535,0.995346277148137,,random_stratified_holdout,tactical_style_label,1500m,1500m_tactical_style,61,,,,,
2368,0.6570945945945946,0.689094368864761,0.6670370258204367,0.6556575683601781,0.6524461388789181,0.689094368864761,,athlete_group_holdout,key_lap_label,1500m,1500m_key_lap,92,,,,,
4561,0.6228897171672879,0.6532588155054675,0.6338099969216834,0.620948283124559,0.6237806690301897,0.6532588155054675,,time_external_season_ge_2023,key_lap_label,1500m,1500m_key_lap,92,,,,,
2254,0.6934338952972493,0.7065464350209574,0.6757651886300405,0.6940087188296563,0.6559302860607191,0.7065464350209574,,random_stratified_holdout,key_lap_label,1500m,1500m_key_lap,92,,,,,
9013,,,,,,,,unsupervised_full_fit,style_cluster,1500m,1500m_style_cluster,18,0.18691152324002955,"{""0"": 3294, ""1"": 2477, ""2"": 3137, ""3"": 105}",,,
9013,,,,,,,,unsupervised_full_fit,risk_score,1500m,1500m_risk_detection,15,,,0.12004881837346056,-0.05371733113513794,0.05810824070385999
